x,y,z,vx,vy,vz,ax,ay,az,AttitudeAngleRespectOXY,LateralAttitudeAngleRespectOZ,time,velocity,acceleration,mach_number
-78.88127963617178,-34.079027416403854,501.0964794438124,-36.65077632616676,-18.181566179252027,146.39510238684906,1.6623454380040776,0.9851291936020447,-15.02265410025084,70.30483587900049,16.86676338278676,282,152.0045221593662,15.146418985988845,0.45630088942239094
-79.08196783192999,-34.17858158810506,501.89796759106235,-36.64173749178436,-18.176204949057805,146.31310134837443,1.6865093073566808,0.9977711544782514,-15.12170687226941,70.29750541970388,16.872859046214746,283,151.92272699944098,15.248143482121012,0.4560631059271572
-79.28260616950534,-34.2781062129531,502.6990051930091,-36.63256776200129,-18.170775444030788,146.2305606016101,1.7287129941360364,1.021156878751943,-15.277960111023171,70.29016958244006,16.87895884726669,284,151.84037327053755,15.409324292165842,0.4558236915850055
-79.48012471111107,-34.376078557500335,503.48734146061264,-36.623359357754225,-18.165331842019633,146.14859456972775,1.7712165505376294,1.0447943641374302,-15.433982302434067,70.28295338045174,16.884959783674535,285,151.75856294220947,15.570376136885061,0.45558584376817685
-79.67759297996875,-34.474021205193765,504.27523345116407,-36.61392255860636,-18.15976145188289,146.06578655582354,1.766107009613723,1.040382765348335,-15.434429022486935,70.27575647294954,16.890946179434803,286,151.6758723834754,15.569943144341522,0.455345417497702
-79.87501008856198,-34.571933674496414,505.0626777574099,-36.604384933928515,-18.1541392226919,145.9825566581074,1.778714802667515,1.045239423951456,-15.506122943537608,70.26858996700001,16.89690963361662,287,151.59274592059356,15.642768314550796,0.45510371971749963
-80.29275456445271,-34.77910559790436,506.7281439963252,-36.584151712873236,-18.142234820464555,145.8059546878447,1.813101912407273,1.063511223479778,-15.640436889981055,70.25356965027322,16.90942008352619,288,151.41637052599438,15.78105385507326,0.454590911533598
-80.71026653913133,-34.98614087561655,508.39158750728905,-36.56365008037887,-18.130198256620627,145.6281769505181,1.8763296549551427,1.099433093517313,-15.859271098012254,70.23881052333732,16.921733360000772,289,151.23878642053492,16.007680839566735,0.4540745871156452
-81.12754129349733,-35.19303698160464,510.05299007942733,-36.54259122458133,-18.117852316079397,145.44838354688207,2.0357700855575676,1.1926770105966658,-16.374173873685514,70.22437336977947,16.933803669431352,290,151.0590938088635,16.543288921449147,0.4535520912657323
-82.09181948217102,-35.67106662775921,513.8881383410245,-36.49113632988508,-18.087713963093673,145.02332101500204,2.1091353559374526,1.2380473414130615,-16.569345584029996,70.19235349995903,16.960687289630535,291,150.63376801128385,16.748863431655884,0.45231511163381855
-83.0546913561334,-36.148272284860354,517.7119139381862,-36.43622210678021,-18.05551610577797,144.587661776467,2.2034104130000225,1.2977525339725797,-16.804812215419116,70.16228721424442,16.986101211289956,292,150.19717667535113,16.99826146060381,0.4510450209212716
-84.01608367822716,-36.62460934270023,521.5241082803851,-36.37933598602187,-18.022072996572007,144.1471062138197,2.253826051123102,1.3322003056685106,-16.890676732314024,70.13368245645839,17.010421214945378,293,149.75526512178413,17.092379881066265,0.44975924071539625
-84.97594711505745,-37.10004609155536,525.3246069483992,-36.32039580975366,-17.98729869205176,143.70189078234213,2.331600020512242,1.3831095804301938,-17.05778446082121,70.10575641145525,17.0342423244168,294,149.30822978133003,17.27186618402783,0.4484583078371363
-86.19780747730387,-37.70503493956087,530.1544101721869,-36.243214400464225,-17.94159604472702,143.13033522268606,2.3676461761535466,1.4067429391835073,-17.127326911983747,70.06975027800958,17.064941130706302,295,148.7338707882931,17.347334125517957,0.4467866086585279
-87.41703367271766,-38.30846184432453,534.9648911064895,-36.16398685158896,-17.89455782595236,142.5544313463195,2.3391814894449596,1.3892571833204288,-17.03153715836806,70.03206149358915,17.09693827776878,296,148.1546996934649,17.247465423616344,0.4451007069185402
-88.6335836374297,-38.910299177360045,539.7559688732987,-36.08455940448178,-17.84737016840959,141.9787831137449,2.3449593811284544,1.3898433555628251,-17.07384814191063,69.9921071204361,17.13067188236469,297,147.57573955025137,17.290077773832294,0.4434154964358519
-89.84746732369479,-39.510553213607054,544.5276858244903,-36.005778812100374,-17.800622617865887,141.40489275991976,2.341970132818695,1.3857458523818982,-17.085608997902114,69.9501793169942,17.165916991827828,298,146.99871417768927,17.300958080395496,0.44173615406228983
-90.65763560854863,-39.91102813865365,547.7074480153254,-35.95300623284853,-17.769369940218326,141.02030067994852,2.3495359450654214,1.3880691702916859,-17.12788222574578,69.92149657909779,17.18998233432662,299,146.6120539693605,17.343915495576162,0.44061094423361247
-91.46661489229712,-40.31079945225872,550.8785434174542,-35.900184191700006,-17.73813898803808,140.63509926019142,2.329266727649663,1.3744804172037495,-17.074131986848112,69.89267289690994,17.214160857192116,300,146.22481302323774,17.287008503790418,0.43948413246821777
-92.2744063516026,-40.7098689392039,554.0409664914332,-35.84750443977411,-17.70703423696946,140.25002740815123,2.322475423001765,1.3694353474014256,-17.048932302368243,69.86399812321271,17.238233388031134,301,145.83776199604821,17.260803512927637,0.4383579764133496
-93.51730013577584,-41.3236675486021,558.8988755456745,-35.76675787474784,-17.659400735671404,139.65781493750112,2.3050772062624674,1.3597587843843106,-16.96821885481601,69.82049833550673,17.274824233914654,302,145.2426269258828,17.177973570345095,0.4366265764769801
-94.75739811772151,-41.935816931383116,563.7362605037579,-35.68642251988297,-17.61201529219699,139.06744475793045,2.3167179890870933,1.3683163550105424,-16.965131047647084,69.77792442165652,17.310734194181777,303,144.6494314763118,17.177169247352374,0.434901003703277
-95.99470879532376,-42.54632140309691,568.5531787409872,-35.60619163068811,-17.56465307141491,138.47852684956226,2.302564932583218,1.3606447617134867,-16.905674973111864,69.73599946708677,17.34617498769595,304,144.057697879653,17.115928421585583,0.4331798014851559
-96.40530483704723,-42.748854782308605,570.1495277800944,-35.57954542874636,-17.54891047565705,138.28316270851897,2.3070824306974393,1.364023584145434,-16.904836118309447,69.7221512004328,17.35789410319557,305,143.86139649144792,17.115977151978132,0.4326088334321698
-96.8155939152143,-42.95120678621118,571.7436250882997,-35.55295717312746,-17.53319469572649,138.08814520542066,2.2989926630539546,1.3599182082426269,-16.864894046621043,69.70830676563656,17.369612931842024,306,143.66545000892117,17.07511042428832,0.43203891387954435
-97.22557639270316,-43.15337751865884,573.3354740482832,-35.526389540848506,-17.51748312261072,137.89336291596442,2.310943495907019,1.3683840373543286,-16.869680377884958,69.6944343294348,17.381355603078607,307,143.46973933562762,17.082126646496853,0.43146969173366495
-98.28901362539168,-43.677638853047675,577.4595813141631,-35.457328158041996,-17.476610991475624,137.3879698748615,2.277157487433698,1.3491388920881888,-16.740572016511745,69.6580885418152,17.4121054422839,308,142.9619121241399,16.94852127510646,0.4299927239543067
-99.35038643604204,-44.2006779156838,581.5685735419498,-35.38859700899761,-17.435903012195563,136.88443785117227,2.252835157731786,1.3347640032715655,-16.651149082596017,69.62112384987164,17.443340828541615,309,142.45600316570506,16.85578912312266,0.4285214535323752
-100.40971305295888,-44.722504919271074,585.6625275202018,-35.320737610190335,-17.39569976768004,136.38417914498436,2.2335233970511412,1.323038290490278,-16.587004661208,69.58342907085651,17.47514509859613,310,141.9535459112817,16.78891839024224,0.4270604190806967
-101.04722119148383,-45.03644540026173,588.12284389443,-35.2802291343212,-17.371702372044204,136.08404631977749,2.230140432728952,1.320560559887926,-16.5747629258894,69.56035965056583,17.494586681308572,311,141.65217355846127,16.77617872435382,0.4261841934986584
-101.68399962847535,-45.34995366794273,590.577746256076,-35.23992383945117,-17.34783172979436,135.7846040840025,2.239656282537667,1.3256115947307539,-16.60383656836043,69.53706057048373,17.51420758025308,312,141.35154121616392,16.80656702461327,0.4253101866642871
-102.3200496754696,-45.663030637140494,593.0272394701984,-35.19956298328879,-17.323937694631507,135.48500994936967,2.3485142758918403,1.3895604321954143,-16.94181406235991,69.51357786090617,17.533972843528648,313,141.0507567241055,17.16017078068767,0.4244357759838163
-102.75184819842055,-45.875528874847184,594.6886570523905,-35.17140985603607,-17.307277342685463,135.27917276039258,2.3416348658706476,1.3850945334042362,-16.919795763948457,69.49754099099034,17.547467291507456,314,140.84397219268578,17.137130139123514,0.42383457128567337
-103.18329738237834,-46.08782041305058,596.3475367053281,-35.14263093908614,-17.29025196106718,135.07139685679616,2.3349032856667225,1.3807475583156479,-16.897790610601977,69.48146101494822,17.560996840846467,315,140.63512922113068,17.114133477712514,0.4232273286286205
-103.6143939040315,-46.299903347476516,598.0038681848356,-35.11393552621518,-17.273280643969734,134.8638910879907,2.3091254602574938,1.3646220872589268,-16.80412080307321,69.46535474490592,17.57454878663034,316,140.42657801049612,17.016836656574046,0.42262096576785946
-105.43748597393689,-47.19640908472729,604.9951804662805,-34.99315344139074,-17.201874563408968,133.98750217660145,2.2874488595574918,1.3519329302175676,-16.709915734890757,69.3971336566677,17.63198281487359,317,139.5459638104691,16.91985309629038,0.42006089943010216
-107.25432798378455,-48.08922019778896,611.9410401086225,-34.87360794012039,-17.131219880565336,133.11599760124108,2.261472059384458,1.3375300285437524,-16.58363250157712,69.3290046144334,17.689395905687714,318,138.67053054896388,16.790476747251635,0.4175163856251572
-109.6927650516404,-49.28651412115369,621.2292561772052,-34.71416240273116,-17.036939088522214,131.94935897022856,2.2437677781127183,1.3278513794070586,-16.49557145729173,69.23692967481566,17.76704720683602,319,137.49895889599836,16.700346129062947,0.4141118128685871
